player_name,goals,matches_played,goals_per_match
Thembi Zulu,72,3,24
Thabo Mthembu,88,5,17.6
Gugu Tshabalala,57,9,6.333333333333333
Lindiwe Mabaso,67,13,5.1538461538461542
Mpho Zulu,5,1,5
Sipho Tshabalala,110,26,4.2307692307692308
Boitumelo Nkosi,96,25,3.84
Karabo Tshabalala,106,30,3.5333333333333332
Lindiwe Zulu,34,11,3.0909090909090908
Sipho Phiri,91,33,2.7575757575757578
Sipho Dlamini,43,22,1.9545454545454546
Ayanda Sithole,107,60,1.7833333333333334
Nomsa Mashaba,90,58,1.5517241379310345
Thabo Ndlovu,60,40,1.5
Sibusiso Mabaso,104,78,1.3333333333333333
Thabo Sithole,98,76,1.2894736842105263
Thembi Dlamini,77,63,1.2222222222222223
Kagiso Phiri,117,101,1.1584158415841583
Mpho Radebe,92,83,1.1084337349397591
Gugu Dlamini,65,59,1.1016949152542372
Thembi Mokoena,90,86,1.0465116279069768
Kagiso Mashaba,64,62,1.032258064516129
Gugu Tshabalala,91,108,0.84259259259259256
Sibusiso Ndlovu,25,30,0.83333333333333337
Ayanda Sithole,29,35,0.82857142857142863
Vusi Radebe,112,142,0.78873239436619713
Sipho Baloyi,91,116,0.78448275862068961
Lindiwe Molefe,114,166,0.68674698795180722
Mandla Baloyi,89,131,0.67938931297709926
Mpho Zulu,67,101,0.6633663366336634
Vusi Radebe,71,110,0.6454545454545455
Vusi Radebe,102,160,0.6375
Sibusiso Tshabalala,91,146,0.62328767123287676
Khanyi Radebe,10,17,0.58823529411764708
Sibusiso Ngobeni,82,145,0.56551724137931036
Thembi Ndlovu,61,109,0.55963302752293576
Kagiso Dlamini,111,201,0.55223880597014929
Lindiwe Mokoena,68,128,0.53125
Siyanda Baloyi,57,109,0.52293577981651373
Nomsa Tshabalala,86,165,0.52121212121212124
Zanele Molefe,116,232,0.5
Lindiwe Radebe,113,233,0.48497854077253216
Khanyi Baloyi,112,231,0.48484848484848486
Zanele Phiri,117,249,0.46987951807228917
Nokuthula Mthembu,114,247,0.46153846153846156
Tumelo Molefe,75,164,0.45731707317073172
Karabo Phiri,114,259,0.44015444015444016
Ayanda Sithole,110,255,0.43137254901960786
