player_name,goals,assists,total_contribution
Siyanda Mabena,118,75,193
Zanele Molefe,116,76,192
Vusi Radebe,112,76,188
Ayanda Sithole,107,72,179
Ayanda Sithole,110,68,178
Vusi Molefe,99,77,176
Thembi Phiri,102,71,173
Gugu Mahlangu,106,65,171
Nokuthula Mabena,114,53,167
Khanyi Baloyi,112,51,163
Zanele Phiri,117,44,161
Kagiso Dlamini,111,48,159
Thabo Phiri,105,51,156
Karabo Tshabalala,106,49,155
Nomsa Khumalo,82,73,155
Lindiwe Radebe,113,41,154
Nokuthula Dlamini,109,44,153
Mandla Baloyi,89,63,152
Boitumelo Nkosi,96,54,150
Karabo Phiri,114,29,143
Zanele Mabaso,106,36,142
Kagiso Phiri,117,25,142
Thembi Dlamini,77,64,141
Vusi Radebe,102,38,140
Ayanda Mokoena,105,35,140
Thembi Zulu,72,67,139
Sipho Baloyi,91,48,139
Sibusiso Mabaso,104,33,137
Nomsa Tshabalala,86,51,137
Vusi Khumalo,59,78,137
Gugu Hlongwane,98,38,136
Lebogang Phiri,90,46,136
Khanyi Nkosi,92,44,136
Gugu Tshabalala,57,78,135
Sipho Phiri,91,44,135
Nokuthula Mthembu,114,21,135
Mandla Mabena,98,37,135
Lerato Sithole,91,43,134
Kagiso Zulu,89,45,134
Vusi Mabena,113,18,131
Thembi Ndlovu,61,68,129
Mpho Radebe,92,34,126
Thabo Ndlovu,98,28,126
Khanyi Ndlovu,58,66,124
Nomsa Mashaba,90,33,123
Sibusiso Molefe,48,73,121
Lindiwe Mabaso,67,52,119
Kagiso Phiri,41,78,119
Lerato Mabena,62,57,119
Sibusiso Tshabalala,91,27,118
Vusi Mthembu,82,35,117
Karabo Nkosi,72,44,116
Siyanda Mabaso,47,69,116
Lindiwe Mokoena,68,48,116
Sibusiso Ngobeni,82,33,115
Sibusiso Mokoena,65,49,114
Lindiwe Molefe,114,0,114
Karabo Hlongwane,43,69,112
Ayanda Molefe,77,35,112
Sipho Tshabalala,110,1,111
Gugu Mokoena,44,66,110
Tumelo Molefe,75,33,108
Vusi Radebe,71,36,107
Lindiwe Zulu,58,48,106
Lindiwe Phiri,57,49,106
Thembi Mokoena,90,16,106
Gugu Dlamini,65,40,105
Karabo Molefe,58,47,105
Lerato Mashaba,77,27,104
Thabo Sithole,68,36,104
Sipho Mashaba,47,55,102
Sibusiso Radebe,36,66,102
Mpho Mahlangu,97,4,101
Kagiso Mashaba,64,37,101
Thabo Sithole,98,2,100
Karabo Phiri,28,70,98
Zanele Ndlovu,64,33,97
Sibusiso Hlongwane,42,53,95
Gugu Tshabalala,91,2,93
Thabo Ndlovu,60,33,93
Thabo Mabena,40,52,92
Kagiso Phiri,84,8,92
Mpho Zulu,67,24,91
Thembi Tshabalala,55,36,91
Thabo Mthembu,88,2,90
Nomsa Molefe,56,34,90
Ayanda Khumalo,59,31,90
Nokuthula Ngobeni,86,4,90
Thabo Mthembu,22,67,89
Sibusiso Baloyi,75,13,88
Karabo Mthembu,15,72,87
Lindiwe Mabena,53,33,86
Nomsa Dlamini,22,64,86
Gugu Ngobeni,7,78,85
Thembi Dlamini,24,61,85
Khanyi Ndlovu,9,75,84
Nomsa Zulu,81,3,84
Zanele Phiri,55,28,83
Zanele Zulu,82,1,83
Gugu Mashaba,35,48,83
Lindiwe Dlamini,18,64,82
Kagiso Molefe,71,11,82
Khanyi Nkosi,75,6,81
Siyanda Baloyi,57,23,80
Nomsa Mahlangu,80,0,80
Lerato Mabaso,29,50,79
Sipho Mabaso,4,75,79
Sibusiso Dlamini,23,54,77
Lebogang Molefe,23,53,76
Siyanda Mokoena,3,72,75
Karabo Phiri,72,2,74
Tumelo Mokoena,11,63,74
Sibusiso Ndlovu,25,49,74
Mandla Baloyi,73,1,74
Sipho Nkosi,33,40,73
Lebogang Mashaba,35,38,73
Tumelo Khumalo,39,34,73
Tumelo Khumalo,48,24,72
Khanyi Dlamini,10,59,69
Kabelo Phiri,43,24,67
Mandla Mahlangu,13,52,65
Lerato Dlamini,13,51,64
Vusi Nkosi,4,60,64
Tumelo Ngobeni,32,29,61
Kagiso Mthembu,10,50,60
Nomsa Tshabalala,21,38,59
Siyanda Molefe,47,12,59
Lebogang Phiri,12,46,58
Lebogang Zulu,37,18,55
Sipho Ngobeni,16,38,54
Ayanda Sithole,29,25,54
Kabelo Mabena,12,40,52
Gugu Mokoena,19,33,52
Lebogang Tshabalala,48,3,51
Sipho Dlamini,43,8,51
Kagiso Mabaso,3,48,51
Thabo Sithole,14,36,50
Mpho Radebe,18,32,50
Thabo Phiri,18,32,50
Lerato Khumalo,3,44,47
Khanyi Ngobeni,29,18,47
Kabelo Phiri,43,4,47
Karabo Zulu,23,22,45
Kagiso Tshabalala,36,8,44
Khanyi Ndlovu,3,41,44
Nomsa Radebe,17,26,43
Sipho Radebe,1,42,43
Lindiwe Tshabalala,12,31,43
Lindiwe Zulu,34,9,43
Gugu Molefe,1,42,43
Siyanda Baloyi,25,10,35
Mandla Radebe,6,28,34
Sipho Radebe,3,30,33
Lebogang Mashaba,7,25,32
Ayanda Molefe,26,5,31
Tumelo Mthembu,19,7,26
Khanyi Radebe,10,15,25
Lindiwe Radebe,18,7,25
Lerato Tshabalala,10,14,24
Lebogang Mabena,18,6,24
Boitumelo Mabaso,8,14,22
Vusi Mahlangu,10,12,22
Boitumelo Mokoena,8,14,22
Mpho Tshabalala,9,13,22
Siyanda Dlamini,9,12,21
Karabo Sithole,7,14,21
Lebogang Mashaba,10,11,21
Sibusiso Khumalo,7,14,21
Nokuthula Mabena,10,11,21
Nokuthula Ndlovu,9,12,21
Nomsa Ndlovu,5,15,20
Mandla Khumalo,9,11,20
Karabo Phiri,8,12,20
Thembi Zulu,4,15,19
Lerato Mabena,4,15,19
Mpho Zulu,5,14,19
Lerato Khumalo,4,15,19
Ayanda Mthembu,10,9,19
Kabelo Mahlangu,6,13,19
Thabo Khumalo,9,10,19
Zanele Mokoena,3,15,18
Kagiso Mokoena,7,11,18
Lebogang Mabaso,7,11,18
Nomsa Ndlovu,5,13,18
Gugu Radebe,6,12,18
Khanyi Tshabalala,3,15,18
Nokuthula Mabena,7,11,18
Vusi Phiri,3,15,18
Lindiwe Mabaso,1,15,16
Sipho Hlongwane,4,12,16
Khanyi Mahlangu,7,9,16
Mandla Mthembu,8,8,16
Mandla Sithole,9,7,16
Karabo Hlongwane,3,13,16
Thabo Mashaba,7,9,16
Kabelo Nkosi,5,11,16
Sibusiso Mthembu,2,14,16
Tumelo Dlamini,9,7,16
Nomsa Mahlangu,9,6,15
Thembi Mthembu,10,5,15
Gugu Molefe,7,8,15
Thembi Mashaba,4,11,15
Tumelo Dlamini,8,7,15
Mandla Mahlangu,4,11,15
Kagiso Mashaba,2,13,15
Thembi Tshabalala,7,8,15
Karabo Mthembu,5,10,15
Thembi Sithole,3,12,15
Kagiso Khumalo,6,9,15
Ayanda Zulu,2,13,15
Thabo Sithole,2,13,15
Mandla Khumalo,3,12,15
Nokuthula Baloyi,7,8,15
Nomsa Hlongwane,3,12,15
Nomsa Mthembu,5,9,14
Lindiwe Tshabalala,8,6,14
Ayanda Khumalo,4,10,14
Gugu Mokoena,2,12,14
Kabelo Mahlangu,6,7,13
Mpho Tshabalala,8,5,13
Kagiso Baloyi,10,3,13
Boitumelo Phiri,3,10,13
Mpho Mashaba,9,4,13
Nomsa Dlamini,3,10,13
Lebogang Mahlangu,7,6,13
Thabo Tshabalala,3,10,13
Vusi Dlamini,6,6,12
Nomsa Hlongwane,3,9,12
Sibusiso Ndlovu,6,6,12
Sipho Ndlovu,9,3,12
Siyanda Ndlovu,4,8,12
Khanyi Zulu,9,3,12
Lerato Ngobeni,2,10,12
Boitumelo Mabena,7,4,11
Khanyi Mthembu,7,4,11
Boitumelo Ndlovu,9,2,11
Siyanda Mahlangu,6,5,11
Zanele Mokoena,2,9,11
Sipho Mabaso,6,5,11
Nokuthula Hlongwane,2,9,11
Siyanda Mokoena,8,3,11
Gugu Mabena,4,7,11
Sipho Mabena,0,10,10
Tumelo Zulu,0,10,10
Thabo Ndlovu,9,1,10
Thembi Nkosi,6,4,10
Kabelo Mokoena,3,7,10
Thembi Ndlovu,0,10,10
Nokuthula Mahlangu,7,3,10
Kabelo Mabena,5,5,10
Khanyi Baloyi,2,7,9
Kagiso Molefe,5,4,9
Siyanda Mabaso,4,5,9
Mandla Mabena,5,4,9
Kagiso Mokoena,0,9,9
Boitumelo Radebe,0,9,9
Gugu Mashaba,3,6,9
Tumelo Dlamini,5,4,9
Mandla Baloyi,4,5,9
Thabo Khumalo,4,4,8
Lindiwe Hlongwane,4,4,8
Lindiwe Mabaso,8,0,8
Thabo Mashaba,2,6,8
Sipho Hlongwane,1,7,8
Lindiwe Radebe,3,5,8
Vusi Hlongwane,3,5,8
Lebogang Sithole,7,1,8
Thabo Baloyi,1,6,7
Lindiwe Molefe,1,6,7
Thembi Mahlangu,1,6,7
Mpho Hlongwane,6,1,7
Khanyi Phiri,5,2,7
Nomsa Hlongwane,6,0,6
Thembi Mthembu,6,0,6
Sipho Khumalo,0,6,6
Ayanda Mabaso,6,0,6
Boitumelo Radebe,1,5,6
Siyanda Radebe,6,0,6
Lebogang Mashaba,5,1,6
Mandla Baloyi,4,2,6
Nomsa Zulu,2,3,5
Lebogang Molefe,1,4,5
Nomsa Molefe,1,4,5
Thembi Khumalo,4,1,5
Tumelo Ngobeni,4,1,5
Khanyi Baloyi,2,1,3
Sibusiso Radebe,3,0,3
Ayanda Mabaso,0,3,3
Zanele Tshabalala,3,0,3
Karabo Mokoena,3,0,3
Mandla Ndlovu,0,3,3
Nokuthula Sithole,2,1,3
Thembi Ngobeni,0,2,2
Gugu Nkosi,2,0,2
Lerato Tshabalala,2,0,2
Lindiwe Phiri,1,0,1
Karabo Mthembu,0,1,1
Khanyi Ndlovu,0,1,1
Thembi Mokoena,1,0,1
Kagiso Hlongwane,0,0,0
